"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","59건","","51,853","","",""
"1","농산물조림","도쿠시마현","2014-11-10","132","불검출","불검출","적합"
"2","혼합제제","효고현","2014-12-10","4,000","불검출","불검출","적합"
"3","당류가공품","교토부","2014-04-01","57.6","불검출","불검출","적합"
"4","유탕면류","도치기현","2014-11-12","230.4","불검출","불검출","적합"
"5","카레","효고현","2014-11-25","4,320","불검출","불검출","적합"
"6","청주","이바라키현","2014-11-20","172.8","불검출","불검출","적합"
"7","소주","후쿠오카현","2014-10-07","21.6","불검출","불검출","적합"
"8","과자(비스킷)","아이치현","2014-11-18","249.6","불검출","불검출","적합"
"9","소스류","아이치현","2014-12-03","9,720","불검출","불검출","적합"
"10","소스류","도치기현","2014-11-13","432","불검출","불검출","적합"
"11","초콜릿가공품","이바라키현","2014-12-02","1,116","불검출","불검출","적합"
"12","과자(스낵과자)","이바라키현","2014-11-15","441","불검출","불검출","적합"
"13","과자(스낵과자)","이바라키현","2014-12-02","864","불검출","불검출","적합"
"14","위스키","오사카부","2014-08-29","252","불검출","불검출","적합"
