"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건19","-","-","28,998","-","-","-"
"1","활바리 자바리
(
)","나가사키현","2015-10-12","491","불검출","불검출","적합"
"2","활장어 먹장어
(
)","나가사키현","2015-10-12","399","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-10-12","7,000","불검출","불검출","적합"
"4","냉장대구","야마구치현","2015-10-12","110","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-10-12","7,166","불검출","불검출","적합"
"6","냉장갈치","오이타현","2015-10-12","1,335","불검출","불검출","적합"
"7","냉장갈치","야마구치현","2015-10-12","455","불검출","불검출","적합"
"8","냉장준치","야마구치현","2015-10-12","2,392","불검출","불검출","적합"
"9","냉장명태","홋카이도","2015-10-12","2,000","불검출","불검출","적합"
"10","냉장갈치","오이타현","2015-10-12","260","불검출","불검출","적합"
"11","냉장갈치","야마구치현","2015-10-12","120","불검출","불검출","적합"
"12","냉장돔 황돔(
)","나가사키현","2015-10-12","62","불검출","불검출","적합"
"13","냉장준치","구마모토현","2015-10-12","2,000","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-10-12","2,650","불검출","불검출","적합"
"15","냉장갈치","오이타현","2015-10-12","180","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2015-10-12","1,184","불검출","불검출","적합"
