"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 122건","","","","660,378","","",""
"1","소스","히로시마현","2018-11-20","270","불검출","불검출","적합"
"2","소스","히로시마현","2019-01-21","991","불검출","불검출","적합"
"3","소스","히로시마현","2019-02-05","72","불검출","불검출","적합"
"4","소스","히로시마현","2018-11-13","72","불검출","불검출","적합"
"5","고형차","교토부","2019-03-06","700","불검출","불검출","적합"
"6","볶은커피","효고현","2019-02-18","154","불검출","불검출","적합"
"7","볶은커피","효고현","2019-02-28","134","불검출","불검출","적합"
"8","볶은커피","효고현","2019-02-25","496","불검출","불검출","적합"
"9","액상커피","시가현","2019-02-21","6,600","불검출","불검출","적합"
"10","액상커피","시가현","2019-01-30","18,000","불검출","불검출","적합"
"11","청주","효고현","2019-02-25","900","불검출","불검출","적합"
"12","청주","효고현","2019-02-22","8,100","불검출","불검출","적합"
"13","카레(커리)","효고현","2019-03-07","4,400","불검출","불검출","적합"
"14","과자","가나가와현","2018-11-01","3,744","불검출","불검출","적합"
