"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건10","-","-","1,755,381","-","-","-"
"1","냉동꽁치","대만","2015-11-27","523,757","불검출","불검출","적합"
"2","냉동꽁치","대만","2015-11-27","119,389","불검출","불검출","적합"
"3","냉동가자미
(
마설가자미
)","러시아","2015-11-27","70","불검출","불검출","적합"
"4","냉동대구 목살(
)","러시아","2015-11-27","11,524","불검출","불검출","적합"
"5","냉동꽁치","대만","2015-11-27","140,065","불검출","불검출","적합"
"6","냉동꽁치","대만","2015-11-27","485,867","불검출","불검출","적합"
"7","냉동꽁치","대만","2015-11-27","94,247","불검출","불검출","적합"
"8","냉동꽁치","대만","2015-11-27","204,423","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-11-27","154,539","불검출","불검출","적합"
"10","냉동가자미
(
각시가자미
)","미국","2015-11-27","21,500","불검출","불검출","적합"
