"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"16","냉장명태","홋카이도","2015-11-30","11,550","불검출","불검출","적합"
"17","냉장갈치","오이타현","2015-11-30","925","불검출","불검출","적합"
"18","냉장홍어","홋카이도","2015-11-30","3,403","불검출","불검출","적합"
"19","냉장명태","히로시마현","2015-11-30","5,000","불검출","불검출","적합"
"20","냉장갈치","히로시마현","2015-11-30","160","불검출","불검출","적합"
"21","냉장갈치","에히메현","2015-11-30","410","불검출","불검출","적합"
"22","냉장돔 참돔(
)","나가사키현","2015-11-30","160","불검출","불검출","적합"
"23","활장어 먹장어
(
)","나가사키현","2015-11-30","1,332","불검출","불검출","적합"
"24","냉장명태","홋카이도","2015-11-30","4,350","불검출","불검출","적합"
"25","냉장명태","홋카이도","2015-11-30","4,350","불검출","불검출","적합"
"26","냉장갈치","에히메현","2015-11-30","348","불검출","불검출","적합"
"27","냉장갈치","오이타현","2015-11-30","610","불검출","불검출","적합"
"28","활장어 먹장어
(
)","후쿠오카현","2015-11-30","1,554","불검출","불검출","적합"
"29","냉동꼴뚜기
(
흰꼴뚜기
)","가고시마현","2015-11-30","1,000","불검출","불검출","적합"
