"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 47건","","","","123,832","","",""
"1","소스","히로시마현","2018-08-17","720","불검출","불검출","적합"
"2","캔디류","야마구치현","2018-09-12","768","불검출","불검출","적합"
"3","캔디류","야마구치현","2018-09-06","672","불검출","불검출","적합"
"4","캔디류","나가노현","2018-09-09","202","불검출","불검출","적합"
"5","가르시니아
캄보지아추출물","시즈오카현","2018-08-02","755","불검출","불검출","적합"
"6","소스","가나가와현","2018-09-21","762","불검출","불검출","적합"
"7","올리고당","훗카이도","2017-03-04","2,000","불검출","불검출","적합"
"8","청주","이와테현","2018-10-01","691","불검출","불검출","적합"
"9","청주","이와테현","2018-10-01","691","불검출","불검출","적합"
"10","청주","이와테현","2018-10-01","259","불검출","불검출","적합"
"11","된장","도쿠시마현","2018-09-05","192","불검출","불검출","적합"
"12","건면","구마모토현","2018-09-12","228","불검출","불검출","적합"
"13","떡류","니가타현","2018-09-20","540","불검출","불검출","적합"
"14","생면","사이타마현","2018-09-04","2,400","불검출","불검출","적합"
