"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 195건","","","","2,306,464","","",""
"1","혼합제제","이바라키현","2018-09-28","80","불검출","불검출","적합"
"2","기타가공품","도쿄도","2017-12-11","7","불검출","불검출","적합"
"3","기타가공품","도쿄도","2017-10-26","19","불검출","불검출","적합"
"4","염화마그네슘","오카야마현","2018-09-12","12,000","불검출","불검출","적합"
"5","금박","가나가와현","2019-09-25","1","불검출","불검출","적합"
"6","혼합제제","오카야마현","2018-10-10","60","불검출","불검출","적합"
"7","글리세린지방산
에스테르","효고현","2018-09-21","75","불검출","불검출","적합"
"8","글리세린지방산
에스테르","효고현","2018-09-05","225","불검출","불검출","적합"
"9","조미건어포","아오모리현","2018-08-31","20","불검출","불검출","적합"
"10","청주","도치기현","2018-09-27","1,944","불검출","불검출","적합"
"11","과자","고치현","2018-08-24","54","불검출","불검출","적합"
"12","청주","도치기현","2018-09-26","1,555","불검출","불검출","적합"
"13","청주","도치기현","2018-09-21","2,304","불검출","불검출","적합"
