"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 177건","","","","530,691","","",""
"1","유탕면","아이치현","2018-09-18","87","불검출","불검출","적합"
"2","빵류","나가노현","2018-09-07","105","불검출","불검출","적합"
"3","전분","가고시마현","2017-11-29","37,000","불검출","불검출","적합"
"4","혼합제제","오사카부","2018-09-28","400","불검출","불검출","적합"
"5","혼합제제","가나가와현","2018-09-14","250","불검출","불검출","적합"
"6","합성향료","나가노현","2018-09-12","1,200","불검출","불검출","적합"
"7","합성향료","나가노현","2018-09-26","600","불검출","불검출","적합"
"8","고형차","후쿠오카현","2018-09-12","48","불검출","불검출","적합"
"9","기타가공품","이바라키현","2018-09-26","7,200","불검출","불검출","적합"
"10","과자","사이타마현","2018-09-12","360","불검출","불검출","적합"
"11","전분","가고시마현","2015-12-09","18,500","불검출","불검출","적합"
"12","효모식품","오이타현","2018-05-25","2,000","불검출","불검출","적합"
"13","산분해간장","구마모토현","2018-03-14","178","불검출","불검출","적합"
"14","소스","구마모토현","2018-03-18","163","불검출","불검출","적합"
