"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 105건","","","","757,710","","",""
"1","소스","가나가와현","2018-10-12","1,640","불검출","불검출","적합"
"2","소스","가나가와현","2018-10-12","974","불검출","불검출","적합"
"3","소스","가나가와현","2018-10-12","968","불검출","불검출","적합"
"4","소스","가나가와현","2018-10-11","1,175","불검출","불검출","적합"
"5","캔디류","나가노현","2018-10-02","4,243","불검출","불검출","적합"
"6","고추냉이/신선,냉장","도쿄도","2018-10-10","20","불검출","불검출","적합"
"7","혼합제제","가나가와현","2018-10-04","150","불검출","불검출","적합"
"8","과자","시즈오카현","2018-08-02","400","불검출","불검출","적합"
"9","캔디류","야마구치현","2018-08-02","192","불검출","불검출","적합"
"10","고형차","교토부","2019-05-29","1,276","불검출","불검출","적합"
"11","캔디류","효고현","2018-10-01","86","불검출","불검출","적합"
"12","소스","후쿠오카현","2018-10-23","3,750","불검출","불검출","적합"
"13","캔디류","효고현","2018-09-26","233","불검출","불검출","적합"
"14","과자","사이타마현","2018-10-04","300","불검출","불검출","적합"
