"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 145건","","","","323,933","","",""
"1","혼합제제","기후현","2018-10-22","2","불검출","불검출","적합"
"2","혼합장","아이치현","2018-10-12","10,000","불검출","불검출","적합"
"3","혼합장","아이치현","2018-10-15","9,000","불검출","불검출","적합"
"4","과자","니가타현","2018-10-10","720","불검출","불검출","적합"
"5","볶은커피","미에현","2018-09-01","454","불검출","불검출","적합"
"6","소스","후쿠오카현","2018-10-09","11,160","불검출","불검출","적합"
"7","혼합제제","오사카부","2018-10-10","16,104","불검출","불검출","적합"
"8","기타가공품","아오모리현","2018-07-02","300","불검출","불검출","적합"
"9","기타가공품","이바라키현","2018-10-10","9,000","불검출","불검출","적합"
"10","기타가공품","이바라키현","2018-10-08","18,000","불검출","불검출","적합"
"11","커피/건조","브라질","2018-05-02","26,400","불검출","불검출","적합"
"12","과자","후쿠시마현","2018-09-20","251","불검출","불검출","적합"
"13","과자","후쿠시마현","2018-09-13","254","불검출","불검출","적합"
"14","어묵","ETC","2018-08-08","360","불검출","불검출","적합"
