"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 118건","","","","504,097","","",""
"1","청주","아이치현","2018-07-19","130","불검출","불검출","적합"
"2","청주","아이치현","2018-07-26","130","불검출","불검출","적합"
"3","청주","아이치현","2018-07-26","220","불검출","불검출","적합"
"4","청주","아이치현","2018-06-21","612","불검출","불검출","적합"
"5","덱스트린","오카야마현","2018-04-09","24,000","불검출","불검출","적합"
"6","조제커피","효고현","2018-07-09","150","불검출","불검출","적합"
"7","청주","교토부","2018-07-12","7","불검출","불검출","적합"
"8","청주","교토부","2018-08-08","3,732","불검출","불검출","적합"
"9","혼합제제","사이타마현","2018-07-20","500","불검출","불검출","적합"
"10","인스턴트커피","시즈오카현","2018-08-01","5,802","불검출","불검출","적합"
"11","과자","이바라키현","2018-08-10","1,170","불검출","불검출","적합"
"12","초콜릿가공품","이바라키현","2018-08-10","360","불검출","불검출","적합"
"13","과자","이바라키현","2018-08-17","360","불검출","불검출","적합"
"14","과자","이바라키현","2018-08-10","450","불검출","불검출","적합"
