"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 80건","","","","1,299,973","","",""
"1","볶은커피","시즈오카현","2017-10-11","3,074","불검출","불검출","적합"
"2","기타가공품","훗카이도","2017-05-11","20","불검출","불검출","적합"
"3","소스류","군마현","2017-08-23","3,240","불검출","불검출","적합"
"4","과자(스낵과자)","히로시마현","2017-10-12","1,453","불검출","불검출","적합"
"5","과자(쿠키)","오사카부","2017-10-13","31","불검출","불검출","적합"
"6","과자(쿠키)","가나가와현","2017-09-15","3,792","불검출","불검출","적합"
"7","혼합장","나가노현","2017-09-21","1,050","불검출","불검출","적합"
"8","향신료조제품","도쿄도","2017-10-16","1,250","불검출","불검출","적합"
"9","카레","니가타현","2017-09-01","10,800","불검출","불검출","적합"
