"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"","","","","","","",""
"10","금박","교토부","2017-09-28","0","불검출","불검출","적합"
"11","소주","미야자키현","2017-09-07","135","불검출","불검출","적합"
"12","소스류","도쿠시마현","2017-08-31","108","불검출","불검출","적합"
"13","청주","아오모리현","2017-09-29","1,750","불검출","불검출","적합"
"14","청주","아오모리현","2017-09-20","130","불검출","불검출","적합"
"15","청주","아오모리현","2017-05-19","1,404","불검출","불검출","적합"
"16","소스류","히로시마현","2017-09-12","90","불검출","불검출","적합"
"17","청주","도치기현","2017-08-31","10,080","불검출","불검출","적합"
"18","과자(쿠키)","가나가와현","2017-10-04","1,642","불검출","불검출","적합"
"19","DL-알라닌","이바라키현","2017-09-25","2,000","불검출","불검출","적합"
"20","DL-사과산","오사카부","2017-04-19","19,000","불검출","불검출","적합"
"21","혼합제제","오사카부","2017-09-21","480","불검출","불검출","적합"
"22","조미건어포류","훗카이도","2017-09-11","12","불검출","불검출","적합"
"23","캔디류(젤리)","아이치현","2017-10-19","542","불검출","불검출","적합"
"24","조미건어포류","훗카이도","2017-09-26","15","불검출","불검출","적합"
"25","유탕면류","도치기현","2017-09-22","703","불검출","불검출","적합"
"26","유탕면류","도치기현","2017-09-22","801","불검출","불검출","적합"
"27","캔디류(젤리)","아이치현","2017-10-20","475","불검출","불검출","적합"
"28","캔디류(젤리)","아이치현","2017-10-19","271","불검출","불검출","적합"
"29","캔디류(젤리)","아이치현","2017-10-19","259","불검출","불검출","적합"
"30","캔디류(젤리)","아이치현","2017-10-19","271","불검출","불검출","적합"
"31","액상차","효고현","2017-09-30","40,597","불검출","불검출","적합"
"32","캔디류(젤리)","아이치현","2017-10-19","271","불검출","불검출","적합"
"33","캔디류(젤리)","아이치현","2017-10-16","259","불검출","불검출","적합"
"34","캔디류(젤리)","아이치현","2017-10-19","259","불검출","불검출","적합"
