"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","캔디류(젤리)","아이치현","2017-10-20","271","불검출","불검출","적합"
"36","캔디류(젤리)","아이치현","2017-10-18","259","불검출","불검출","적합"
"37","혼합제제","시가현","2017-10-28","10","불검출","불검출","적합"
"38","리파아제","시가현","2017-10-28","20","불검출","불검출","적합"
"39","건어포류","에히메현","2017-09-15","540","불검출","불검출","적합"
"40","초콜릿가공품","사이타마현","2017-09-26","47","불검출","불검출","적합"
"41","초콜릿가공품","사이타마현","2017-09-26","164","불검출","불검출","적합"
"42","밀크초콜릿","사이타마현","2017-09-25","72","불검출","불검출","적합"
"43","청주","효고현","2017-09-26","259","불검출","불검출","적합"
"44","초콜릿가공품","사이타마현","2017-09-25","89","불검출","불검출","적합"
"45","초콜릿가공품","사이타마현","2017-09-25","62","불검출","불검출","적합"
"46","국수","가가와현","2017-09-28","500","불검출","불검출","적합"
"47","국수","가가와현","2017-09-26","7,000","불검출","불검출","적합"
"48","가공두부","이시카와현","2017-10-03","1,600","불검출","불검출","적합"
"49","국수","가가와현","2017-09-19","83","불검출","불검출","적합"
"50","소스류","후쿠오카현","2017-10-23","1,350","불검출","불검출","적합"
"51","소스류","후쿠오카현","2017-10-23","300","불검출","불검출","적합"
"52","혼합제제","사이타마현","2017-10-03","160","불검출","불검출","적합"
"53","과자(비스킷)","이시카와현","2017-09-30","482","불검출","불검출","적합"
"54","과자(비스킷)","이시카와현","2017-08-31","825","불검출","불검출","적합"
"55","과자(비스킷)","이시카와현","2017-10-02","825","불검출","불검출","적합"
"56","과자(비스킷)","이시카와현","2017-09-25","80","불검출","불검출","적합"
"57","혼합제제","오사카부","2017-10-05","51","불검출","불검출","적합"
"58","혼합제제","오사카부","2017-10-06","34","불검출","불검출","적합"
"59","혼합제제","효고현","2017-10-10","51","불검출","불검출","적합"
