"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건22","-","-","128,268","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2015-12-11","3,225","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2015-12-11","5,720","불검출","불검출","적합"
"3","활방어","에히메현","2015-12-11","3,805","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-12-11","6,517","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-12-11","7,000","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-12-11","7,000","불검출","불검출","적합"
"7","냉장돔 황돔(
)","야마구치현","2015-12-11","145","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2015-12-11","8,864","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2015-12-11","9,397","불검출","불검출","적합"
"10","활우렁쉥이","홋카이도","2015-12-11","9,582","불검출","불검출","적합"
"11","냉장명태","홋카이도","2015-12-11","11,550","불검출","불검출","적합"
"12","냉장명태","홋카이도","2015-12-11","5,000","불검출","불검출","적합"
"13","활우렁쉥이","홋카이도","2015-12-11","5,802","불검출","불검출","적합"
"14","활가리비","홋카이도","2015-12-11","2,914","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-12-11","3,000","불검출","불검출","적합"
