"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","137","","979,401","","",""
"1","수산물가공품","효고현","2015-11-10","76.8","불검출","불검출","적합"
"2","트랜스글루타미나아제","가나가와현","2015-10-06","330","불검출","불검출","적합"
"3","트랜스글루타미나아제","가나가와현","2015-10-14","80","불검출","불검출","적합"
"4","당류가공품","교토부","2015-11-06","43.2","불검출","불검출","적합"
"5","청주","사가현","2015-10-20","43.2","불검출","불검출","적합"
"6","청주","사가현","2015-10-23","60.48","불검출","불검출","적합"
"7","청주","와카야마현","2015-11-21","86.4","불검출","불검출","적합"
"8","청주","후쿠이현","2015-11-18","86.4","불검출","불검출","적합"
"9","과자(쿠키)","훗카이도","2015-11-19","603.9","불검출","불검출","적합"
"10","과자(쿠키)","훗카이도","2015-11-14","674.78","불검출","불검출","적합"
"11","과자(쿠키)","훗카이도","2015-11-15","121.18","불검출","불검출","적합"
"12","기타가공품","도쿄도","2014-08-19","7.16","불검출","불검출","적합"
"13","소스류","히로시마현","2015-11-10","2,070","불검출","불검출","적합"
