"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"16","냉장병어","효고현","2015-12-15","270","불검출","불검출","적합"
"17","냉장갈치","와카야마현","2015-12-15","3,462","불검출","불검출","적합"
"18","냉장돔 황돔(
)","야마구치현","2015-12-15","360","불검출","불검출","적합"
"19","냉장가오리","야마구치현","2015-12-15","200","불검출","불검출","적합"
"20","냉장홍어","야마구치현","2015-12-15","180","불검출","불검출","적합"
"21","냉장홍어","홋카이도","2015-12-15","6,316","불검출","불검출","적합"
"22","활우렁쉥이","홋카이도","2015-12-15","10,116","불검출","불검출","적합"
"23","활우렁쉥이","홋카이도","2015-12-15","3,418","불검출","불검출","적합"
"24","냉장명태","홋카이도","2015-12-15","6,260","불검출","불검출","적합"
"25","냉장명태","홋카이도","2015-12-15","3,000","불검출","불검출","적합"
"26","냉장갈치","오이타현","2015-12-15","245","불검출","불검출","적합"
"27","냉장갈치","히로시마현","2015-12-15","570","불검출","불검출","적합"
"28","활가리비","홋카이도","2015-12-15","7,214","불검출","불검출","적합"
"29","활우렁쉥이","홋카이도","2015-12-15","9,146","불검출","불검출","적합"
"30","활우렁쉥이","홋카이도","2015-12-15","8,887","불검출","불검출","적합"
"31","활우렁쉥이","홋카이도","2015-12-15","8,950","불검출","불검출","적합"
"32","활우렁쉥이","홋카이도","2015-12-15","9,392","불검출","불검출","적합"
