"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","140","","513,234","","",""
"1","소스류","가나가와현","2016-09-26","1,628","불검출","불검출","적합"
"2","액상차","효고현","2016-09-08","46,267","불검출","불검출","적합"
"3","혼합제제","사이타마현","2016-09-27","280","불검출","불검출","적합"
"4","합성착향료","히로시마현","2016-09-19","255","불검출","불검출","적합"
"5","과자(스낵과자)","사이타마현","2016-08-24","77","불검출","불검출","적합"
"6","소스류","가나가와현","2016-09-20","959","불검출","불검출","적합"
"7","카레","나라현","2016-09-14","400","불검출","불검출","적합"
"8","밀크초콜릿","가나가와현","2016-09-07","1,942","불검출","불검출","적합"
"9","캔디류(젤리)","아이치현","2016-08-24","134","불검출","불검출","적합"
"10","빵류(케이크)","훗카이도","2016-09-28","173","불검출","불검출","적합"
"11","화이트초콜릿","가나가와현","2016-08-22","1,788","불검출","불검출","적합"
"12","맥주","후쿠오카현","2016-09-07","174,600","불검출","불검출","적합"
