"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","69건","","198,724","","",""
"1","혼합제제","효고현","2014-03-14","17","불검출","불검출","적합"
"2","기타가공품","지바현","2014-01-27","18","불검출","불검출","적합"
"3","비타민","시즈오카현","2014-01-21","45","불검출","불검출","적합"
"4","기타가공품","지바현","2014-03-05","59.8","불검출","불검출","적합"
"5","혼합제제","효고현","2014-03-17","17","불검출","불검출","적합"
"6","혼합제제","나가노현","2014-03-11","500","불검출","불검출","적합"
"7","수산물가공품","오사카부","2014-02-22","500","불검출","불검출","적합"
"8","건어포류","오사카부","2014-03-11","500","불검출","불검출","적합"
"9","기타가공품","사가현","2014-01-06","19.08","불검출","불검출","적합"
"10","청주","효고현","2014-03-07","4,428","불검출","불검출","적합"
"11","청주","효고현","2014-03-06","1,782","불검출","불검출","적합"
"12","시클로덱스트린시럽","시즈오카현","2013-10-09","12,000","불검출","불검출","적합"
"13","소스류","에히메현","2014-03-07","1,000","불검출","불검출","적합"
"14","혼합제제","오카야마현","2014-03-20","32","불검출","불검출","적합"
"15","카레","나가노현","2014-02-27","4,455","불검출","불검출","적합"
"16","카레","나가노현","2014-02-26","4,455","불검출","불검출","적합"
