"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","101건","","377,147","","",""
"1","소스류","효고현","2013-12-21","282.1","불검출","불검출","적합"
"2","소스류","미야자키현","2013-06-09","300","불검출","불검출","적합"
"3","볶은커피","사이타마현","2014-01-27","300","불검출","불검출","적합"
"4","액상커피","시가현","2014-03-06","3,300","불검출","불검출","적합"
"5","소스류","도쿠시마현","2014-02-18","108","불검출","불검출","적합"
"6","기타가공품","야마구치현","2014-03-01","5","불검출","불검출","적합"
"7","냉면","구마모토현","2014-02-13","5,504","불검출","불검출","적합"
"8","국수","구마모토현","2014-01-22","360","불검출","불검출","적합"
"9","냉면","구마모토현","2014-03-04","444","불검출","불검출","적합"
"10","냉면","구마모토현","2014-02-17","444","불검출","불검출","적합"
"11","가르시니아캄보지아추출물","시즈오카현","2014-02-19","4.73","불검출","불검출","적합"
"12","냉면","구마모토현","2014-02-12","420","불검출","불검출","적합"
"13","냉면","구마모토현","2014-02-14","380","불검출","불검출","적합"
"14","국수","구마모토현","2014-03-04","240","불검출","불검출","적합"
"15","냉면","구마모토현","2014-03-03","150","불검출","불검출","적합"
"16","혼합제제","효고현","2014-03-05","51","불검출","불검출","적합"
