"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","88건","","629,249","","",""
"1","혼합제제","도쿠시마현","2014-05-28","100","불검출","불검출","적합"
"2","과자(한과류)","나가노현","2014-06-19","2,688","불검출","불검출","적합"
"3","과자(크래커)","아이치현","2014-05-27","31.5","불검출","불검출","적합"
"4","기타가공품","지바현","2014-06-16","115","불검출","불검출","적합"
"5","과자(크래커)","니가타현","2014-05-19","108","불검출","불검출","적합"
"6","당류가공품","아이치현","2014-05-01","254.59","불검출","불검출","적합"
"7","과자(비스킷)","이바라키현","2014-04-29","316.12","불검출","불검출","적합"
"8","카레","니가타현","2014-04-15","432","불검출","불검출","적합"
"9","카레","니가타현","2014-05-07","432","불검출","불검출","적합"
"10","카레","니가타현","2014-05-07","432","불검출","불검출","적합"
"11","맥주","후쿠오카현","2014-05-01","68,700","불검출","불검출","적합"
"12","맥주","후쿠오카현","2014-05-09","100,800","불검출","불검출","적합"
"13","맥주","후쿠오카현","2014-05-14","67,200","불검출","불검출","적합"
"14","식초절임(매실절임)","와카야마현","2014-05-14","96","불검출","불검출","적합"
"15","소스류","히로시마현","2014-05-14","1,188","불검출","불검출","적합"
"16","소스류","히로시마현","2014-03-06","80","불검출","불검출","적합"
"17","과자(비스킷)","니가타현","2014-06-13","148.32","불검출","불검출","적합"
"18","맥주","후쿠오카현","2014-05-20","209,520","불검출","불검출","적합"
