"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","80건","","233,257","","",""
"1","소스류","나가사키현","2014-06-05","5,016","불검출","불검출","적합"
"2","소스류","나가사키현","2014-06-07","1,845","불검출","불검출","적합"
"3","소스류","나가사키현","2014-06-07","1,188.77","불검출","불검출","적합"
"4","소스류","나가사키현","2014-06-11","1,898.26","불검출","불검출","적합"
"5","소스류","나가사키현","2014-06-11","1,332.82","불검출","불검출","적합"
"6","소스류","나가사키현","2014-06-06","1,266.84","불검출","불검출","적합"
"7","혼합제제","와카야마현","2014-06-12","30","불검출","불검출","적합"
"8","소스류","가나가와현","2014-06-04","762","불검출","불검출","적합"
"9","소스류","가나가와현","2014-06-05","279","불검출","불검출","적합"
"10","소스류","가나가와현","2014-05-27","294.75","불검출","불검출","적합"
"11","캔디류(양갱)","지바현","2014-06-02","41.76","불검출","불검출","적합"
"12","소스류","가나가와현","2014-05-22","541.8","불검출","불검출","적합"
"13","소스류","가나가와현","2014-05-22","281.68","불검출","불검출","적합"
"14","소스류","가나가와현","2014-05-22","1,141.68","불검출","불검출","적합"
"15","혼합제제","오카야마현","2014-06-09","45","불검출","불검출","적합"
"16","혼합제제","와카야마현","2014-06-13","30","불검출","불검출","적합"
"17","청주","교토부","2014-05-19","483.84","불검출","불검출","적합"
"18","국수","사이타마현","2014-05-30","279.6","불검출","불검출","적합"
