"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 131건","","","","269,208","","",""
"1","복합조미식품","가나가와현","2017-12-05","89,988","불검출","불검출","적합"
"2","혼합제제","사이타마현","2017-10-19","200","불검출","불검출","적합"
"3","혼합제제","사이타마현","2017-11-17","160","불검출","불검출","적합"
"4","된장","나가노현","2017-12-21","886","불검출","불검출","적합"
"5","탄산수소암모늄","도야마현","2017-12-05","18,000","불검출","불검출","적합"
"6","기타가공품","아오모리현","2017-10-16","2,010","불검출","불검출","적합"
"7","소스","지바현","2017-12-06","2,160","불검출","불검출","적합"
"8","복합조미식품","에히메현","2017-12-01","996","불검출","불검출","적합"
"9","복합조미식품","효고현","2017-12-09","960","불검출","불검출","적합"
"10","커피","미에현","2017-10-31","720","불검출","불검출","적합"
"11","시클로덱스트린시럽","시즈오카현","2017-12-05","9,000","불검출","불검출","적합"
"12","시클로덱스트린
(알파,베타,감마)","시즈오카현","2017-10-04","500","불검출","불검출","적합"
