"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 160건","","","","1,269,112","","",""
"1","기타 식용유지가공품","훗카이도","2018-04-26","3,008","불검출","불검출","적합"
"2","혼합제제","사이타마현","2018-05-14","400","불검출","불검출","적합"
"3","캔디류","야마나시현","2018-05-01","8,002","불검출","불검출","적합"
"4","고형차","아이치현","2018-05-21","3","불검출","불검출","적합"
"5","혼합장","나가노현","2018-05-17","68","불검출","불검출","적합"
"6","혼합장","나가노현","2018-05-17","67","불검출","불검출","적합"
"7","고형차","아이치현","2018-05-21","3","불검출","불검출","적합"
"8","고형차","아이치현","2018-05-21","5","불검출","불검출","적합"
"9","향신료조제품","시즈오카현","2018-04-18","110","불검출","불검출","적합"
"10","프로바이오틱스
(원료성)","시가현","2018-05-16","207","불검출","불검출","적합"
"11","절임식품","도쿄도","2018-05-30","56","불검출","불검출","적합"
"12","절임식품","도치기현","2018-05-30","32","불검출","불검출","적합"
"13","혼합장","나가노현","2018-05-17","84","불검출","불검출","적합"
"14","청주","시즈오카현","2018-05-15","263","불검출","불검출","적합"
