"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","48건","","201,665","","",""
"1","청주","아이치현","2014-07-08","432","불검출","불검출","적합"
"2","청주","아이치현","2014-07-08","432","불검출","불검출","적합"
"3","두류가공품","오사카부","2014-03-03","5,220","불검출","불검출","적합"
"4","과자(스낵과자)","이바라키현","2014-07-14","3,294","불검출","불검출","적합"
"5","과자(스낵과자)","사이타마현","2014-02-19","488","불검출","불검출","적합"
"6","볶은커피","미에현","2014-05-28","96","불검출","불검출","적합"
"7","혼합제제","효고현","2014-07-09","51","불검출","불검출","적합"
"8","혼합제제","효고현","2014-07-10","68","불검출","불검출","적합"
"9","혼합제제","가나가와현","2014-07-15","40","불검출","불검출","적합"
"10","소주","오이타현","2014-01-24","43.2","불검출","불검출","적합"
"11","과자(비스킷)","이시카와현","2014-06-16","192","불검출","불검출","적합"
"12","과자(비스킷)","이시카와현","2014-06-13","264","불검출","불검출","적합"
"13","과자(비스킷)","이시카와현","2014-02-28","240","불검출","불검출","적합"
"14","소스류","히로시마현","2014-07-04","705.6","불검출","불검출","적합"
"15","발효식초","히로시마현","2014-07-03","550.8","불검출","불검출","적합"
"16","폴리아크릴산나트륨","효고현","2013-09-30","1,005","불검출","불검출","적합"
