"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","49건","","46,268","","",""
"1","기타식용유지","훗카이도","2014-02-12","192","불검출","불검출","적합"
"2","소스류","사가현","2014-06-20","16.3","불검출","불검출","적합"
"3","소스류","효고현","2014-05-15","90","불검출","불검출","적합"
"4","기타식용유지","지바현","2014-01-28","72","불검출","불검출","적합"
"5","캔디류(사탕)","아이치현","2014-06-02","120","불검출","불검출","적합"
"6","소스류","나가사키현","2014-06-28","1,439.62","불검출","불검출","적합"
"7","소스류","나가사키현","2014-06-24","869.4","불검출","불검출","적합"
"8","소스류","아이치현","2014-06-13","288","불검출","불검출","적합"
"9","수산물가공품","훗카이도","2013-11-01","100","불검출","불검출","적합"
"10","수산물가공품","야마구치현","2014-07-10","60","불검출","불검출","적합"
"11","청주","도치기현","2014-06-26","15,876","불검출","불검출","적합"
"12","혼합제제","이바라키현","2014-06-18","342","불검출","불검출","적합"
"13","국수","훗카이도","2014-05-17","500","불검출","불검출","적합"
"14","복합조미식품","미에현","2014-06-18","24.48","불검출","불검출","적합"
"15","복합조미식품","미에현","2014-06-21","20.7","불검출","불검출","적합"
"16","복합조미식품","미에현","2014-06-17","60","불검출","불검출","적합"
