"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","59건","","109,062","","",""
"1","즉석조리식품","사이타마현","2013-10-09","64.68","불검출","불검출","적합"
"2","혼합제제","시즈오카현","2014-04-04","4,000","불검출","불검출","적합"
"3","기타가공품","지바현","2014-04-15","87.4","불검출","불검출","적합"
"4","양조간장","지바현","2014-03-20","6,210","불검출","불검출","적합"
"5","양조간장","지바현","2014-04-08","12,806","불검출","불검출","적합"
"6","카레","나가노현","2014-04-08","1,200","불검출","불검출","적합"
"7","카레","나가노현","2014-03-03","300","불검출","불검출","적합"
"8","과자(스낵과자)","아이치현","2014-04-12","165.6","불검출","불검출","적합"
"9","과자(스낵과자)","아이치현","2014-04-12","117","불검출","불검출","적합"
"10","조미건어포류","에히메현","2014-04-16","14","불검출","불검출","적합"
"11","수산물가공품","히로시마현","2014-04-16","17.2","불검출","불검출","적합"
"12","수산물가공품","히로시마현","2014-04-16","17.2","불검출","불검출","적합"
"13","수산물가공품","히로시마현","2014-04-16","12.8","불검출","불검출","적합"
"14","튀김식품","히로시마현","2014-04-17","10.56","불검출","불검출","적합"
"15","튀김식품","히로시마현","2014-04-13","116","불검출","불검출","적합"
"16","튀김식품","오이타현","2014-04-15","300","불검출","불검출","적합"
"17","곡류가공품","오사카부","2014-03-28","300","불검출","불검출","적합"
"18","전분가공품","오사카부","2014-04-09","200","불검출","불검출","적합"
