"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","84건","","690,654","","",""
"1","효모추출물제품","오이타현","2013-07-22","200","불검출","불검출","적합"
"2","빵류(그외 빵류)","가가와현","2014-03-15","72","불검출","불검출","적합"
"3","기타가공품","기후현","2014-03-01","3","불검출","불검출","적합"
"4","기타장류","효고현","2014-03-07","540","불검출","불검출","적합"
"5","침출차","오사카부","2014-03-01","9","불검출","불검출","적합"
"6","소스류","군마현","2014-03-12","375","불검출","불검출","적합"
"7","청주","효고현","2014-02-21","180","불검출","불검출","적합"
"8","카레","나라현","2014-03-13","600","불검출","불검출","적합"
"9","카레","아이치현","2014-04-03","900","불검출","불검출","적합"
"10","준초콜릿","가나가와현","2014-04-17","195","불검출","불검출","적합"
"11","복합조미식품","오사카부","2014-03-26","570","불검출","불검출","적합"
"12","맥주","사이타마현","2014-02-15","2,910","불검출","불검출","적합"
"13","맥주","사이타마현","2014-03-07","816","불검출","불검출","적합"
"14","맥주","사이타마현","2014-03-19","1,327.2","불검출","불검출","적합"
"15","청주","가가와현","2014-04-24","181.44","불검출","불검출","적합"
"16","식물성크림","구마모토현","2014-04-03","36","불검출","불검출","적합"
"17","드레싱","사가현","2014-04-03","7,200","불검출","불검출","적합"
"18","식물성크림","구마모토현","2014-04-15","28.8","불검출","불검출","적합"
