"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"50","볶은커피","시즈오카현","2019-03-27","6,036","불검출","불검출","적합"
"51","볶은커피","시즈오카현","2019-01-30","294","불검출","불검출","적합"
"52","볶은커피","시즈오카현","2019-03-30","7,800","불검출","불검출","적합"
"53","된장","나가노현","2019-04-04","1,000","불검출","불검출","적합"
"54","기타가공품","교토부","2018-10-24","16","불검출","불검출","적합"
"55","당류가공품","오사카부","2019-02-28","38","불검출","불검출","적합"
"56","당류가공품","오사카부","2019-02-13","36","불검출","불검출","적합"
"57","당류가공품","교토부","2019-02-27","76","불검출","불검출","적합"
"58","당류가공품","오사카부","2019-02-08","410","불검출","불검출","적합"
"59","건면","기후현","2019-02-09","100","불검출","불검출","적합"
"60","건면","기후현","2019-02-08","100","불검출","불검출","적합"
"61","기타가공품","사이타마현","2019-03-01","182","불검출","불검출","적합"
"62","혼합제제","효고현","2019-04-03","12,220","불검출","불검출","적합"
"63","청주","히로시마현","2019-03-06","518","불검출","불검출","적합"
"64","향신료조제품","오사카부","2019-04-04","154","불검출","불검출","적합"
"65","향신료조제품","오사카부","2019-04-04","70","불검출","불검출","적합"
"66","향신료조제품","오사카부","2019-02-28","2","불검출","불검출","적합"
"67","글리세린호박산
지방산에스테르","와카야마현","2018-11-26","20","불검출","불검출","적합"
"68","혼합제제","사이타마현","2019-04-15","100","불검출","불검출","적합"
"69","혼합제제","사이타마현","2019-04-15","72","불검출","불검출","적합"
"70","마요네즈","시즈오카현","2019-03-15","840","불검출","불검출","적합"
"71","떡류","니가타현","2019-03-15","540","불검출","불검출","적합"
"72","EPA및DHA함유
유지(원료성)","훗카이도","2019-01-21","1,080","불검출","불검출","적합"
"73","소스","지바현","2019-03-28","4,440","불검출","불검출","적합"
"74","혼합제제","와카야마현","2019-03-25","82","불검출","불검출","적합"
"75","청주","효고현","2019-03-22","7,200","불검출","불검출","적합"
"76","청주","효고현","2019-03-20","5,400","불검출","불검출","적합"
"77","청주","효고현","2019-03-15","270","불검출","불검출","적합"
"78","청주","효고현","2019-03-15","1,440","불검출","불검출","적합"
"79","소스","히로시마현","2019-03-25","300","불검출","불검출","적합"
"80","떡류","훗카이도","2019-03-25","230","불검출","불검출","적합"
"81","떡류","훗카이도","2019-03-20","230","불검출","불검출","적합"
"82","소스","시즈오카현","2019-03-26","245","불검출","불검출","적합"
"83","떡류","훗카이도","2019-03-25","230","불검출","불검출","적합"
