"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 190건","","","","1,608,516","","",""
"1","효모식품","가나가와현","2019-02-13","400","불검출","불검출","적합"
"2","효모식품","오이타현","2018-12-20","20","불검출","불검출","적합"
"3","복합조미식품","가나가와현","2019-03-01","47,280","불검출","불검출","적합"
"4","복합조미식품","가나가와현","2018-10-22","200","불검출","불검출","적합"
"5","트랜스글루타미나아제","가나가와현","2019-02-15","230","불검출","불검출","적합"
"6","트랜스글루타미나아제","가나가와현","2018-10-16","50","불검출","불검출","적합"
"7","트랜스글루타미나아제","가나가와현","2019-01-11","100","불검출","불검출","적합"
"8","맥주","후쿠오카현","2019-03-05","69,792","불검출","불검출","적합"
"9","맥주","후쿠오카현","2019-03-12","328,853","불검출","불검출","적합"
"10","맥주","후쿠오카현","2019-03-01","34,896","불검출","불검출","적합"
"11","DL-사과산","오사카부","2019-02-19","20,000","불검출","불검출","적합"
"12","당류가공품","오키나와현","2019-03-28","546","불검출","불검출","적합"
"13","당류가공품","오키나와현","2019-03-28","1,920","불검출","불검출","적합"
"14","액상차","효고현","2019-03-28","81,585","불검출","불검출","적합"
