"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 198건","","","","745,844","","",""
"1","캔디류","아이치현","2018-08-30","1,980","불검출","불검출","적합"
"2","혼합제제","오카야마현","2018-08-31","300","불검출","불검출","적합"
"3","기타천연착향료","오카야마현","2018-08-31","360","불검출","불검출","적합"
"4","혼합제제","오카야마현","2018-08-31","45","불검출","불검출","적합"
"5","혼합제제","사이타마현","2018-08-24","100","불검출","불검출","적합"
"6","혼합제제","오카야마현","2018-08-27","1,000","불검출","불검출","적합"
"7","혼합제제","오카야마현","2018-08-21","30","불검출","불검출","적합"
"8","건면","시즈오카현","2018-08-22","100","불검출","불검출","적합"
"9","건면","가가와현","2018-08-31","100","불검출","불검출","적합"
"10","과자","이바라키현","2018-08-09","933","불검출","불검출","적합"
"11","과자","이바라키현","2018-08-06","706","불검출","불검출","적합"
"12","과자","이바라키현","2018-08-08","933","불검출","불검출","적합"
"13","전분가공품","오사카부","2018-08-22","600","불검출","불검출","적합"
"14","기타 수산물가공품","히로시마현","2018-08-31","32","불검출","불검출","적합"
