"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 106건","","","","1,139,273","","",""
"1","당류가공품","히로시마현","2017-07-03","20","불검출","불검출","적합"
"2","혼합제제","히로시마현","2017-03-31","60","불검출","불검출","적합"
"3","혼합제제","도쿄도","2017-08-10","100","불검출","불검출","적합"
"4","혼합제제","도쿄도","2017-08-10","10","불검출","불검출","적합"
"5","혼합제제","오사카부","2017-08-17","34","불검출","불검출","적합"
"6","혼합제제","오사카부","2017-08-18","17","불검출","불검출","적합"
"7","캔디류(사탕)","미에현","2017-06-19","422","불검출","불검출","적합"
"8","과.채음료","후쿠오카현","2017-07-21","2,250","불검출","불검출","적합"
"9","캔디류(사탕)","미에현","2017-07-06","296","불검출","불검출","적합"
"10","과자(비스킷)","아이치현","2017-08-05","930","불검출","불검출","적합"
"11","혼합제제","오사카부","2017-08-10","17","불검출","불검출","적합"
"12","혼합제제","오카야마현","2017-05-18","30","불검출","불검출","적합"
"13","혼합제제","오카야마현","2017-08-10","15","불검출","불검출","적합"
