"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 99건","","","","143,157","","",""
"1","소스","에히메현","2019-06-25","2,940","불검출","불검출","적합"
"2","소스","에히메현","2019-07-06","4,446","불검출","불검출","적합"
"3","소스","에히메현","2019-05-24","240","불검출","불검출","적합"
"4","소스","지바현","2019-06-20","2,405","불검출","불검출","적합"
"5","소스","지바현","2019-06-11","1,270","불검출","불검출","적합"
"6","소스","지바현","2019-06-20","3,586","불검출","불검출","적합"
"7","양조간장","지바현","2019-06-24","4,070","불검출","불검출","적합"
"8","양조간장","지바현","2019-06-21","7,455","불검출","불검출","적합"
"9","양조간장","효고현","2019-06-24","702","불검출","불검출","적합"
"10","양조간장","효고현","2019-05-29","126","불검출","불검출","적합"
"11","건어포","오사카부","2019-06-19","200","불검출","불검출","적합"
"12","건어포","오사카부","2019-06-19","780","불검출","불검출","적합"
"13","과자","니가타현","2019-07-03","324","불검출","불검출","적합"
"14","과자","아이치현","2019-06-26","2,136","불검출","불검출","적합"
"15","캔디류","아이치현","2019-07-05","696","불검출","불검출","적합"
