"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","83,225","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-03-29","4,801","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2016-03-29","13,306","불검출","불검출","적합"
"3","활돔 돌돔(
)","고치현","2016-03-29","529","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-03-29","3,000","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-03-29","2,580","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-03-29","6,800","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-03-29","6,527","불검출","불검출","적합"
"8","활돔 돌돔(
)","가나가와현","2016-03-29","1,077","불검출","불검출","적합"
"9","냉장준치","효고현","2016-03-29","50","불검출","불검출","적합"
"10","냉장갈치","효고현","2016-03-29","808","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-03-29","2,400","불검출","불검출","적합"
"12","활돔 돌돔(
)","미에현","2016-03-29","680","불검출","불검출","적합"
"13","활돔 돌돔(
)","도쿠시마현","2016-03-29","388","불검출","불검출","적합"
"14","활돔 돌돔(
)","시즈오카현","2016-03-29","119","불검출","불검출","적합"
"15","활돔 돌돔(
)","와카야마현","2016-03-29","278","불검출","불검출","적합"
"16","활가리비","홋카이도","2016-03-29","6,985","불검출","불검출","적합"
