"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"146","카레","니가타현","2017-10-02","400","불검출","불검출","적합"
"147","소스류","사이타마현","2017-08-19","168","불검출","불검출","적합"
"148","청국장","도쿄도","2017-10-09","317","불검출","불검출","적합"
"149","빵류(케이크)","히로시마현","2017-11-01","86","불검출","불검출","적합"
"150","빵류(케이크)","히로시마현","2017-11-07","139","불검출","불검출","적합"
"151","소스류","오사카부","2017-11-02","180","불검출","불검출","적합"
"152","청국장","도쿄도","2017-10-10","3,197","불검출","불검출","적합"
"153","양조간장","아이치현","2017-10-06","1,620","불검출","불검출","적합"
"154","빵류(카스텔라)","히로시마현","2017-11-01","78","불검출","불검출","적합"
"155","즉석조리식품","지바현","2017-10-02","29","불검출","불검출","적합"
"156","캔디류(젤리)","군마현","2017-08-29","7,488","불검출","불검출","적합"
"157","곡류가공품","오사카부","2017-10-26","600","불검출","불검출","적합"
"158","캔디류(사탕)","훗카이도","2017-10-20","163","불검출","불검출","적합"
"159","곡류가공품","오사카부","2017-09-11","600","불검출","불검출","적합"
"160","캔디류(사탕)","훗카이도","2017-10-01","272","불검출","불검출","적합"
"161","소스류","오사카부","2017-10-25","2,160","불검출","불검출","적합"
"162","천연향신료","도치기현","2017-09-11","191","불검출","불검출","적합"
"163","소스류","야마가타현","2017-11-06","1,780","불검출","불검출","적합"
"164","혼합제제","오사카부","2017-11-06","68","불검출","불검출","적합"
"165","혼합제제","오사카부","2017-11-06","34","불검출","불검출","적합"
"166","혼합제제","효고현","2017-11-13","5,000","불검출","불검출","적합"
