"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 109건","","","","1,315,899","","",""
"1","기타 수산물가공품","구마모토현","2018-08-01","360","불검출","불검출","적합"
"2","혼합제제","히로시마현","2018-10-30","75","불검출","불검출","적합"
"3","혼합제제","히로시마현","2018-10-31","300","불검출","불검출","적합"
"4","빵류","야마나시현","2018-10-01","181","불검출","불검출","적합"
"5","초콜릿가공품","오사카부","2018-10-04","95","불검출","불검출","적합"
"6","액상차","미에현","2018-10-15","720","불검출","불검출","적합"
"7","과자","효고현","2018-10-01","242","불검출","불검출","적합"
"8","글리세린지방산에
스테르","미에현","2018-09-03","576","불검출","불검출","적합"
"9","카레(커리)분","효고현","2018-10-12","385","불검출","불검출","적합"
"10","기타가공품","미야자키현","2018-07-20","104","불검출","불검출","적합"
"11","소스","지바현","2018-09-06","56","불검출","불검출","적합"
"12","혼합제제","사이타마현","2018-09-03","612","불검출","불검출","적합"
"13","빵류","야마나시현","2018-10-03","275","불검출","불검출","적합"
