"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 101건","","","","570,560","","",""
"1","풀루란","오카야마현","2018-09-11","130","불검출","불검출","적합"
"2","건면","이바라키현","2018-11-05","1,198","불검출","불검출","적합"
"3","과자","고치현","2018-10-03","1,200","불검출","불검출","적합"
"4","과자","고치현","2018-10-03","1,101","불검출","불검출","적합"
"5","소스","후쿠오카현","2018-10-18","1,010","불검출","불검출","적합"
"6","건어포","군마현","2018-10-16","1,040","불검출","불검출","적합"
"7","복합조미식품","니가타현","2018-10-05","347","불검출","불검출","적합"
"8","카레(커리)","니가타현","2018-09-07","792","불검출","불검출","적합"
"9","카레(커리)","니가타현","2018-09-07","792","불검출","불검출","적합"
"10","향신료조제품","사이타마현","2018-10-25","558","불검출","불검출","적합"
"11","과자","니가타현","2018-11-02","374","불검출","불검출","적합"
"12","떡류","니가타현","2018-10-24","72","불검출","불검출","적합"
"13","볶은커피","오사카부","2019-07-29","222","불검출","불검출","적합"
"14","볶은커피","오사카부","2019-07-31","216","불검출","불검출","적합"
