"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 104건","","","","158,374","","",""
"1","양조간장","지바현","2018-10-12","501","불검출","불검출","적합"
"2","과·채가공품","오카야마현","2018-08-29","9,600","불검출","불검출","적합"
"3","카페인","지바현","2018-06-15","100","불검출","불검출","적합"
"4","소스","아오모리현","2018-10-31","214","불검출","불검출","적합"
"5","소스","아오모리현","2018-10-31","219","불검출","불검출","적합"
"6","절임식품","미야자키현","2018-11-15","100","불검출","불검출","적합"
"7","절임식품","미야자키현","2018-11-15","136","불검출","불검출","적합"
"8","절임식품","미야자키현","2018-11-15","72","불검출","불검출","적합"
"9","가공두부","후쿠오카현","2018-11-15","3,426","불검출","불검출","적합"
"10","덱스트린","효고현","2018-10-30","8,000","불검출","불검출","적합"
"11","양조간장","군마현","2018-11-08","18,816","불검출","불검출","적합"
"12","혼합제제","나가노현","2018-11-15","1,000","불검출","불검출","적합"
"13","혼합제제","효고현","2018-11-12","300","불검출","불검출","적합"
"14","기타가공품","와카야마현","2018-11-02","4,000","불검출","불검출","적합"
