"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 117건","","","","225,054","","",""
"1","녹 차 추 출 물 / 알로
에전잎","기후현","2018-11-13","917","불검출","불검출","적합"
"2","어묵","시마네현","2018-11-01","6,174","불검출","불검출","적합"
"3","혼합장","나가노현","2018-10-25","1,100","불검출","불검출","적합"
"4","된장","나가노현","2018-10-26","400","불검출","불검출","적합"
"5","기타가공품","시즈오카현","2017-11-27","6,075","불검출","불검출","적합"
"6","즉석조리식품","나가노현","2018-10-24","1,200","불검출","불검출","적합"
"7","된장","나가노현","2018-10-29","1,500","불검출","불검출","적합"
"8","과자","가나가와현","2018-10-05","4,032","불검출","불검출","적합"
"9","향신료조제품","시즈오카현","2018-10-11","3,240","불검출","불검출","적합"
"10","소스","오사카부","2018-10-18","120","불검출","불검출","적합"
"11","기타가공품","미야기현","2018-10-27","3","불검출","불검출","적합"
"12","구연산","가고시마현","2018-09-25","100","불검출","불검출","적합"
"13","양조간장","오사카부","2018-11-06","1,162","불검출","불검출","적합"
