"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"80","캔디류","나라현","2018-10-19","972","불검출","불검출","적합"
"81","캔디류","나라현","2018-10-05","1,140","불검출","불검출","적합"
"82","혼합음료","도쿄도","2018-10-01","16,160","불검출","불검출","적합"
"83","청국장","훗카이도","2018-11-03","2,970","불검출","불검출","적합"
"84","과자","사이타마현","2018-06-26","2,512","불검출","불검출","적합"
"85","과자","니가타현","2018-11-10","1,020","불검출","불검출","적합"
"86","과자","니가타현","2018-11-13","306","불검출","불검출","적합"
"87","과자","사이타마현","2018-06-19","1,256","불검출","불검출","적합"
"88","기타
수산물가공
품","나가노현","2018-10-16","300","불검출","불검출","적합"
"89","양조간장","지바현","2018-10-10","7,160","불검출","불검출","적합"
"90","떡류","도치기현","2018-11-07","8,400","불검출","불검출","적합"
"91","기타가공품","시즈오카현","2018-08-27","1,600","불검출","불검출","적합"
"92","즉석조리식품","가가와현","2018-07-27","4,992","불검출","불검출","적합"
"93","볶은커피","오사카부","2018-10-16","2,661","불검출","불검출","적합"
"94","볶은커피","오사카부","2018-10-23","2,661","불검출","불검출","적합"
"95","피틴산","와카야마현","2018-11-01","200","불검출","불검출","적합"
"96","합성향료","히로시마현","2018-10-25","255","불검출","불검출","적합"
"97","액상차","군마현","2018-09-21","6,720","불검출","불검출","적합"
"98","탄산음료","이바라키현","2018-10-11","2,388","불검출","불검출","적합"
"99","빙과","고치현","2018-11-09","121","불검출","불검출","적합"
"100","소스","지바현","2018-10-04","8,543","불검출","불검출","적합"
"101","소스","지바현","2018-10-15","395","불검출","불검출","적합"
