"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 120건","","","","195,375","","",""
"1","캔디류","오사카부","2018-09-30","86","불검출","불검출","적합"
"2","혼합제제","오사카부","2018-10-23","1,320","불검출","불검출","적합"
"3","청주","아키타현","2018-11-01","86","불검출","불검출","적합"
"4","기타
수산물가공
품","훗카이도","2018-11-09","450","불검출","불검출","적합"
"5","인스턴트커피","군마현","2018-08-08","324","불검출","불검출","적합"
"6","인스턴트커피","미에현","2018-09-25","97","불검출","불검출","적합"
"7","볶은커피","미에현","2018-09-01","302","불검출","불검출","적합"
"8","전분","가고시마현","2017-12-03","18,500","불검출","불검출","적합"
"9","빵류","기후현","2018-11-16","2,016","불검출","불검출","적합"
"10","볶은커피","오사카부","2018-10-16","345","불검출","불검출","적합"
"11","과자","아이치현","2018-10-29","533","불검출","불검출","적합"
"12","초콜릿가공품","이바라키현","2019-08-01","262","불검출","불검출","적합"
"13","초콜릿가공품","이바라키현","2019-07-01","262","불검출","불검출","적합"
