"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 163건","","","","1,006,358","","",""
"1","혼합제제","시즈오카현","2018-11-02","3,000","불검출","불검출","적합"
"2","전분","가고시마현","2017-11-18","37,000","불검출","불검출","적합"
"3","환자용식품","시즈오카현","2018-10-17","90","불검출","불검출","적합"
"4","건면","후쿠시마현","2018-11-07","241","불검출","불검출","적합"
"5","건면","후쿠시마현","2018-11-07","145","불검출","불검출","적합"
"6","건면","후쿠시마현","2018-11-07","226","불검출","불검출","적합"
"7","맥주","후쿠오카현","2018-11-07","11,880","불검출","불검출","적합"
"8","맥주","후쿠오카현","2018-11-02","67,133","불검출","불검출","적합"
"9","맥주","후쿠오카현","2018-11-01","17,448","불검출","불검출","적합"
"10","카레(커리)","시즈오카현","2018-10-11","690","불검출","불검출","적합"
"11","향신료조제품","사이타마현","2018-10-10","215","불검출","불검출","적합"
"12","카레(커리)","시즈오카현","2018-10-01","690","불검출","불검출","적합"
"13","카레(커리)","시즈오카현","2018-10-01","690","불검출","불검출","적합"
"14","유탕면","후쿠오카현","2018-10-19","237","불검출","불검출","적합"
