"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건31","-","-","78,446","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2016-01-27","2,812","불검출","불검출","적합"
"2","냉동돔 참돔(
)","후쿠오카현","2016-01-27","2,740","불검출","불검출","적합"
"3","냉장병어","와카야마현","2016-01-27","1,000","불검출","불검출","적합"
"4","냉장가오리","야마구치현","2016-01-27","670","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-01-27","7,308","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-01-27","7,500","불검출","불검출","적합"
"7","냉동다랑어 남방(
참다랑어)","인도양","2016-01-27","2,360","불검출","불검출","적합"
"8","냉동다랑어 눈다(
랑어 횟감
,F,
)","대서양","2016-01-27","1,291","불검출","불검출","적합"
"9","냉장돔 황돔(
)","야마구치현","2016-01-27","1,195","불검출","불검출","적합"
"10","냉장돔 참돔(
)","야마구치현","2016-01-27","1,560","불검출","불검출","적합"
"11","냉장가오리","야마구치현","2016-01-27","690","불검출","불검출","적합"
"12","냉장병어","야마구치현","2016-01-27","220","불검출","불검출","적합"
"13","냉장돔 참돔(
)","야마구치현","2016-01-27","365","불검출","불검출","적합"
"14","냉동다랑어 눈다(
랑어 목살,
)","대서양","2016-01-27","2,660","불검출","불검출","적합"
"15","활우렁쉥이","홋카이도","2016-01-27","8,650","불검출","불검출","적합"
"16","활해삼","미에현","2016-01-27","1,000","불검출","불검출","적합"
