"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","활가리비","홋카이도","2016-01-27","4,380","불검출","불검출","적합"
"18","활우렁쉥이","홋카이도","2016-01-27","1,600","불검출","불검출","적합"
"19","활우렁쉥이","홋카이도","2016-01-27","1,870","불검출","불검출","적합"
"20","활우렁쉥이","홋카이도","2016-01-27","7,980","불검출","불검출","적합"
"21","냉장홍어","홋카이도","2016-01-27","2,649","불검출","불검출","적합"
"22","냉장갈치","히로시마현","2016-01-27","80","불검출","불검출","적합"
"23","냉장민어 수조기
(
)","효고현","2016-01-27","50","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-01-27","4,225","불검출","불검출","적합"
"25","냉장준치","구마모토현","2016-01-27","433","불검출","불검출","적합"
"26","냉장명태","홋카이도","2016-01-27","4,225","불검출","불검출","적합"
"27","냉장준치","구마모토현","2016-01-27","721","불검출","불검출","적합"
"28","냉장갈치","에히메현","2016-01-27","120","불검출","불검출","적합"
"29","냉장갈치","효고현","2016-01-27","376","불검출","불검출","적합"
"30","냉장병어","효고현","2016-01-27","20","불검출","불검출","적합"
"31","냉장명태","홋카이도","2016-01-27","7,696","불검출","불검출","적합"
