"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","63","","382,912","","",""
"1","기타가공품","후쿠오카현","2015-02-23","12","불검출","불검출","적합"
"2","당류가공품","오사카부","2015-02-12","42.3","불검출","불검출","적합"
"3","초콜릿가공품","이바라키현","2015-02-02","648","불검출","불검출","적합"
"4","과자(한과류)","나가노현","2015-02-23","230","불검출","불검출","적합"
"5","소스류","에히메현","2015-02-19","480","불검출","불검출","적합"
"6","혼합제제","시가현","2015-03-19","50","불검출","불검출","적합"
"7","혼합제제","시가현","2015-03-18","50","불검출","불검출","적합"
"8","폴리아크릴산나트
륨","효고현","2015-02-12","2,010","불검출","불검출","적합"
"9","캔디류(사탕)","아이치현","2015-03-12","1,800","불검출","불검출","적합"
"10","캔디류(사탕)","아이치현","2015-03-16","1,920","불검출","불검출","적합"
"11","캔디류(사탕)","아이치현","2015-03-16","5,040","불검출","불검출","적합"
