"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 105건","","","","476,564","","",""
"1","가공두부","오사카부","2018-11-22","6,000","불검출","불검출","적합"
"2","가공두부","오사카부","2018-11-22","12,000","불검출","불검출","적합"
"3","고형차","교토부","2019-11-14","173","불검출","불검출","적합"
"4","혼합장","아이치현","2018-11-06","6,110","불검출","불검출","적합"
"5","혼합장","아이치현","2018-11-17","12,890","불검출","불검출","적합"
"6","혼합제제","시즈오카현","2018-10-24","1,850","불검출","불검출","적합"
"7","혼합제제","사이타마현","2018-11-14","48","불검출","불검출","적합"
"8","혼합제제","나가노현","2018-10-18","798","불검출","불검출","적합"
"9","과자","지바현","2018-10-16","248","불검출","불검출","적합"
"10","기타가공품","시즈오카현","2018-03-19","800","불검출","불검출","적합"
"11","떡류","니가타현","2018-09-19","21,216","불검출","불검출","적합"
"12","소스","에히메현","2018-06-01","720","불검출","불검출","적합"
