"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 170건","","","","857,369","","",""
"1","액상커피","군마현","2018-10-08","32,256","불검출","불검출","적합"
"2","과자","니가타현","2018-11-05","216","불검출","불검출","적합"
"3","향신료조제품","나라현","2018-10-31","310","불검출","불검출","적합"
"4","유탕면","아이치현","2018-10-17","30","불검출","불검출","적합"
"5","소스","훗카이도","2018-10-31","288","불검출","불검출","적합"
"6","캔디류","아이치현","2018-11-09","245","불검출","불검출","적합"
"7","과자","훗카이도","2018-10-29","240","불검출","불검출","적합"
"8","혼합제제","시즈오카현","2018-11-15","4,420","불검출","불검출","적합"
"9","과자","니가타현","2018-11-13","106","불검출","불검출","적합"
"10","과자","아이치현","2018-10-24","655","불검출","불검출","적합"
"11","혼합제제","시가현","2018-11-15","10","불검출","불검출","적합"
"12","기타천연착향료","시가현","2018-11-16","10","불검출","불검출","적합"
