"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 87건","","","","600,654","","",""
"1","당류가공품","오카야마현","2018-01-20","76","불검출","불검출","적합"
"2","맥주","이바라키현","2018-01-12","4","불검출","불검출","적합"
"3","맥주","이바라키현","2018-01-06","4","불검출","불검출","적합"
"4","기타 주류","시즈오카현","2018-02-15","36","불검출","불검출","적합"
"5","기타 주류","시즈오카현","2018-02-02","266","불검출","불검출","적합"
"6","양조간장","지바현","2018-01-22","4,212","불검출","불검출","적합"
"7","과자","니가타현","2018-03-09","71","불검출","불검출","적합"
"8","과자","이바라키현","2018-01-27","1,503","불검출","불검출","적합"
"9","과자","이바라키현","2018-01-18","752","불검출","불검출","적합"
"10","과자","이바라키현","2018-01-19","486","불검출","불검출","적합"
"11","과자","이바라키현","2018-01-20","486","불검출","불검출","적합"
"12","과자","이바라키현","2018-01-25","1,503","불검출","불검출","적합"
"13","과자","이바라키현","2018-01-26","392","불검출","불검출","적합"
