"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 143건","","","","244,254","","",""
"1","탄산음료","오사카부","2018-02-26","2,465","불검출","불검출","적합"
"2","곡류가공품","히로시마현","2018-03-01","21,450","불검출","불검출","적합"
"3","혼합제제","오사카부","2018-02-06","660","불검출","불검출","적합"
"4","두류가공품","시가현","2018-02-08","405","불검출","불검출","적합"
"5","혼합제제","효고현","2018-03-07","17","불검출","불검출","적합"
"6","혼합제제","효고현","2018-03-09","17","불검출","불검출","적합"
"7","혼합제제","효고현","2018-03-08","10","불검출","불검출","적합"
"8","혼합제제","효고현","2018-03-13","17","불검출","불검출","적합"
"9","혼합제제","효고현","2018-03-02","34","불검출","불검출","적합"
"10","혼합제제","효고현","2018-03-07","17","불검출","불검출","적합"
"11","혼합제제","효고현","2018-03-09","34","불검출","불검출","적합"
"12","혼합제제","효고현","2018-03-13","17","불검출","불검출","적합"
"13","혼합제제","효고현","2018-03-09","17","불검출","불검출","적합"
