"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건20","-","-","72,209","-","-","-"
"1","활가리비","홋카이도","2015-09-17","6,951","불검출","불검출","적합"
"2","냉동개복치","대서양","2015-09-17","7,782","불검출","불검출","적합"
"3","활돔 돌돔(
)","미에현","2015-09-17","129","불검출","불검출","적합"
"4","냉장갈치","오이타현","2015-09-17","1,980","불검출","불검출","적합"
"5","냉장갈치","야마구치현","2015-09-17","130","불검출","불검출","적합"
"6","냉장민어 수조기
(
)","야마구치현","2015-09-17","39","불검출","불검출","적합"
"7","냉장돔 참돔(
)","야마구치현","2015-09-17","2,750","불검출","불검출","적합"
"8","냉장돔 황돔(
)","야마구치현","2015-09-17","721","불검출","불검출","적합"
"9","활꼬막","후쿠오카현","2015-09-17","2,000","불검출","불검출","적합"
"10","냉동기름치","대서양","2015-09-17","9,132","불검출","불검출","적합"
"11","냉장갈치","오이타현","2015-09-17","20","불검출","불검출","적합"
"12","냉장돔 황돔(
)","나가사키현","2015-09-17","64","불검출","불검출","적합"
"13","냉장돔 황돔(
)","나가사키현","2015-09-17","1,288","불검출","불검출","적합"
"14","냉장가오리","에히메현","2015-09-17","380","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-09-17","2,628","불검출","불검출","적합"
"16","냉장명태","홋카이도","2015-09-17","900","불검출","불검출","적합"
"17","활꼬막 새꼬막
(
)","사가현","2015-09-17","2,800","불검출","불검출","적합"
"18","활가리비","홋카이도","2015-09-17","6,965","불검출","불검출","적합"
"19","냉동가리비
(
외투막
)","홋카이도","2015-09-17","24,000","불검출","불검출","적합"
"20","활장어 먹장어
(
)","후쿠오카현","2015-09-17","1,550","불검출","불검출","적합"
