"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건48","-","-","61,709","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2015-09-16","631","불검출","불검출","적합"
"2","활장어 붕장어
(
)","나가사키현","2015-09-16","586","불검출","불검출","적합"
"3","냉동붉평치","인도양","2015-09-16","1,387","불검출","불검출","적합"
"4","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2015-09-16","1,285","불검출","불검출","적합"
"5","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2015-09-16","1,204","불검출","불검출","적합"
"6","냉장돔 참돔(
)","야마구치현","2015-09-16","495","불검출","불검출","적합"
"7","냉장갈치","오이타현","2015-09-16","370","불검출","불검출","적합"
"8","냉장민어 수조기
(
)","야마구치현","2015-09-16","159","불검출","불검출","적합"
"9","냉장돔 황돔(
)","야마구치현","2015-09-16","290","불검출","불검출","적합"
"10","냉장돔 황돔(
)","후쿠오카현","2015-09-16","236","불검출","불검출","적합"
"11","냉장갈치","와카야마현","2015-09-16","1,552","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2015-09-16","1,520","불검출","불검출","적합"
"13","냉장갈치","오이타현","2015-09-16","910","불검출","불검출","적합"
"14","냉장갈치","야마구치현","2015-09-16","300","불검출","불검출","적합"
"15","냉장민어 수조기
(
)","야마구치현","2015-09-16","81","불검출","불검출","적합"
"16","냉장갈치","오이타현","2015-09-16","680","불검출","불검출","적합"
"17","냉장갈치","히로시마현","2015-09-16","35","불검출","불검출","적합"
"18","냉장가오리","야마구치현","2015-09-16","190","불검출","불검출","적합"
"19","냉장돔 참돔(
)","후쿠오카현","2015-09-16","460","불검출","불검출","적합"
