"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건24","-","-","55,298","-","-","-"
"1","활돔 참돔(
)","나가사키현","2015-09-18","9,227","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-09-18","12,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-09-18","7,000","불검출","불검출","적합"
"4","냉장홍어","홋카이도","2015-09-18","1,183","불검출","불검출","적합"
"5","냉장돔 참돔(
)","야마구치현","2015-09-18","1,155","불검출","불검출","적합"
"6","냉장민어 수조기
(
)","야마구치현","2015-09-18","65","불검출","불검출","적합"
"7","냉장가오리","야마구치현","2015-09-18","120","불검출","불검출","적합"
"8","냉장홍어","야마구치현","2015-09-18","260","불검출","불검출","적합"
"9","냉장돔 참돔(
)","야마구치현","2015-09-18","1,035","불검출","불검출","적합"
"10","냉장돔 황돔(
)","야마구치현","2015-09-18","345","불검출","불검출","적합"
"11","냉장갈치","야마구치현","2015-09-18","300","불검출","불검출","적합"
"12","냉장갈치","오이타현","2015-09-18","1,240","불검출","불검출","적합"
"13","냉장갈치","히로시마현","2015-09-18","139","불검출","불검출","적합"
"14","냉장갈치","에히메현","2015-09-18","176","불검출","불검출","적합"
"15","냉장돔 참돔(
)","야마구치현","2015-09-18","365","불검출","불검출","적합"
"16","냉장돔 황돔(
)","나가사키현","2015-09-18","104","불검출","불검출","적합"
"17","활꼬막","사가현","2015-09-18","100","불검출","불검출","적합"
