"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 112건","","","","812,173","","",""
"1","과자","시즈오카현","2018-06-28","228","불검출","불검출","적합"
"2","과자","효고현","2018-05-02","202","불검출","불검출","적합"
"3","캔디류","아이치현","2018-07-05","648","불검출","불검출","적합"
"4","액상차","훗카이도","2018-05-02","1,440","불검출","불검출","적합"
"5","과자","니가타현","2018-07-17","168","불검출","불검출","적합"
"6","캔디류","아이치현","2018-05-02","384","불검출","불검출","적합"
"7","캔디류","아이치현","2018-06-06","360","불검출","불검출","적합"
"8","캔디류","아이치현","2018-06-02","540","불검출","불검출","적합"
"9","떡류","도치기현","2018-06-02","1,500","불검출","불검출","적합"
"10","양조간장","효고현","2018-06-21","14,602","불검출","불검출","적합"
"11","빵류","기후현","2018-07-31","2,975","불검출","불검출","적합"
"12","위스키","가고시마현","2017-10-17","27","불검출","불검출","적합"
"13","과자","훗카이도","2018-07-17","280","불검출","불검출","적합"
