"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 115건","","","","188,068","","",""
"1","소스","히로시마현","2018-06-28","825","불검출","불검출","적합"
"2","볶은커피","효고현","2018-07-26","23,976","불검출","불검출","적합"
"3","염화마그네슘","오카야마현","2018-06-26","12,000","불검출","불검출","적합"
"4","염화마그네슘","오카야마현","2018-07-09","17,000","불검출","불검출","적합"
"5","합성향료","도쿄도","2018-07-17","80","불검출","불검출","적합"
"6","소스","도치기현","2018-07-05","432","불검출","불검출","적합"
"7","소스","도치기현","2018-07-02","3,024","불검출","불검출","적합"
"8","소스","도치기현","2018-07-06","1,440","불검출","불검출","적합"
"9","소스","도치기현","2018-07-04","3,888","불검출","불검출","적합"
"10","소스","에히메현","2018-05-25","230","불검출","불검출","적합"
"11","소스","에히메현","2018-08-02","1,872","불검출","불검출","적합"
"12","합성향료","효고현","2018-07-26","34","불검출","불검출","적합"
"13","혼합제제","효고현","2018-07-27","34","불검출","불검출","적합"
