"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","128건","","131,116.
14","","",""
"1","코엔자임Q10제
품","시즈오카현","2014-07-08","5.76","불검출","불검출","적합"
"2","뮤코다당.단백
제품","시즈오카현","2014-10-30","10.8","불검출","불검출","적합"
"3","땅콩또는견과류
가공품","오키나와현","2014-12-05","100","불검출","불검출","적합"
"4","과.채음료","오키나와현","2014-11-26","126","불검출","불검출","적합"
"5","초콜릿가공품","오키나와현","2014-12-04","24","불검출","불검출","적합"
"6","청주","후쿠이현","2014-11-18","518.4","불검출","불검출","적합"
"7","청주","효고현","2014-11-19","162","불검출","불검출","적합"
"8","청주","효고현","2014-11-04","54","불검출","불검출","적합"
"9","청주","효고현","2014-11-19","270","불검출","불검출","적합"
"10","청주","효고현","2014-11-13","324","불검출","불검출","적합"
"11","청주","효고현","2014-10-24","432","불검출","불검출","적합"
"12","청주","효고현","2014-10-06","540","불검출","불검출","적합"
