"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
100Bq/Kg)","요오드
(기준:
300Bq/Kg)","판정"
"합계","","-","-","49,037","-","-","-"
"1","가공치즈","효고현","2018-10-15","79","불검출","불검출","적합"
"2","가공치즈","효고현","2018-10-15","79","불검출","불검출","적합"
"3","가공치즈","효고현","2018-10-15","79","불검출","불검출","적합"
"4","가공유크림","오사카부","2018-10-15","120","불검출","불검출","적합"
"5","가공유크림","오사카부","2018-10-15","120","불검출","불검출","적합"
"6","가공유크림","오사카부","2018-10-15","180","불검출","불검출","적합"
"7","가공유크림","오사카부","2018-10-15","180","불검출","불검출","적합"
"8","아이스밀크","사가현","2018-10-15","19,400","불검출","불검출","적합"
"9","비유지방아이스크림","미에현","2018-10-15","9,600","불검출","불검출","적합"
"10","비유지방아이스크림","미에현","2018-10-15","19,200","불검출","불검출","적합"
