"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"101","고춧가루","시가현","2014-12-22","60","불검출","불검출","적합"
"102","초콜릿가공품","이바라키현","2014-12-01","1,620","불검출","불검출","적합"
"103","D-소르비톨","태국","2014-11-05","770","불검출","불검출","적합"
"104","발효식초","나라현","2014-12-01","204","불검출","불검출","적합"
"105","과.채가공품","후쿠오카현","2015-01-23","12","불검출","불검출","적합"
"106","효모추출물제품","오이타현","2014-12-23","20","불검출","불검출","적합"
"107","식용색소적색제102호","오사카부","2013-12-12","3","불검출","불검출","적합"
"108","식용색소적색제3호","오사카부","2013-11-12","2.5","불검출","불검출","적합"
"109","식용색소황색제5호","오사카부","2014-06-19","3","불검출","불검출","적합"
"110","소스류","지바현","2014-12-19","153","불검출","불검출","적합"
"111","소스류","후쿠오카현","2015-01-27","3,000","불검출","불검출","적합"
"112","볶은커피","오사카부","2014-11-25","1,064.4","불검출","불검출","적합"
"113","소스류","히로시마현","2015-01-23","6,012","불검출","불검출","적합"
"114","혼합제제","오사카부","2015-01-30","100","불검출","불검출","적합"
