"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","159","","716,257","","",""
"1","과자(쿠키)","니가타현","2014-12-22","12.42","불검출","불검출","적합"
"2","빵류(그외 빵류)","이바라키현","2014-12-27","4,999.05","불검출","불검출","적합"
"3","합성착향료","효고현","2015-01-08","17","불검출","불검출","적합"
"4","캔디류(젤리)","아이치현","2015-01-09","189.84","불검출","불검출","적합"
"5","혼합제제","효고현","2015-01-19","34","불검출","불검출","적합"
"6","과자(쿠키)","군마현","2014-12-11","234","불검출","불검출","적합"
"7","혼합제제","효고현","2015-01-20","2,000","불검출","불검출","적합"
"8","과실주","프랑스","1997-04-08","45","불검출","불검출","적합"
"9","양조간장","지바현","2014-11-04","4,212","불검출","불검출","적합"
"10","양조간장","지바현","2014-12-15","126.36","불검출","불검출","적합"
"11","양조간장","지바현","2014-12-19","171","불검출","불검출","적합"
"12","과자(쿠키)","군마현","2014-12-09","364","불검출","불검출","적합"
