"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 120건","","","","371,740","","",""
"1","오징어먹물색소","시마네현","2019-05-08","300","불검출","불검출","적합"
"2","혼합제제","오카야마현","2019-05-29","90","불검출","불검출","적합"
"3","혼합제제","오카야마현","2019-05-22","240","불검출","불검출","적합"
"4","커피/건조","과테말라","","552","불검출","불검출","적합"
"5","커피/건조","브라질","","720","불검출","불검출","적합"
"6","가공두부","후쿠오카현","2019-02-23","10,080","불검출","불검출","적합"
"7","혼합장","아이치현","2019-06-14","19,000","불검출","불검출","적합"
"8","소스","미에현","2019-04-08","114","불검출","불검출","적합"
"9","캔디류","아이치현","2019-05-27","36","불검출","불검출","적합"
"10","과자","니가타현","2019-06-13","72","불검출","불검출","적합"
"11","탄산마그네슘","가가와현","2019-01-28","40","불검출","불검출","적합"
"12","볶은커피","가나가와현","2019-06-10","2,340","불검출","불검출","적합"
"13","볶은커피","시즈오카현","2019-06-05","34,428","불검출","불검출","적합"
"14","볶은커피","시즈오카현","2019-06-11","3,000","불검출","불검출","적합"
"15","캔디류","도쿄도","2019-05-29","165","불검출","불검출","적합"
