"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 122건","","","","579,570","","",""
"1","폴리이소부틸렌","가나가와현","2019-01-11","11,780","불검출","불검출","적합"
"2","캔디류","아이치현","2019-06-06","240","불검출","불검출","적합"
"3","과자","야마가타현","2019-06-04","115","불검출","불검출","적합"
"4","기타가공품","기후현","2019-05-27","151","불검출","불검출","적합"
"5","과자","히로시마현","2019-06-05","1,845","불검출","불검출","적합"
"6","맥주","후쿠오카현","2019-06-11","69,792","불검출","불검출","적합"
"7","맥주","후쿠오카현","2019-06-17","28,663","불검출","불검출","적합"
"8","소스","아이치현","2019-06-19","6,930","불검출","불검출","적합"
"9","혼합제제","사이타마현","2019-06-05","250","불검출","불검출","적합"
"10","혼합제제","사이타마현","2019-06-11","120","불검출","불검출","적합"
"11","커피/건조","온두라스","2016-07-25","1,050","불검출","불검출","적합"
"12","혼합제제","사이타마현","2019-06-17","612","불검출","불검출","적합"
"13","복합조미식품","효고현","2019-05-31","300","불검출","불검출","적합"
"14","소스","사가현","2019-05-27","480","불검출","불검출","적합"
"15","볶은커피","시즈오카현","2019-04-23","1,075","불검출","불검출","적합"
