"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","97","","293,629","","",""
"1","즉석조리식품","구마모토현","2015-01-16","1,135.2","불검출","불검출","적합"
"2","헤마토코쿠스추출물
(원료성)","도야마현","2014-10-17","30","불검출","불검출","적합"
"3","향신료조제품
(고추냉이가공품)","도쿄도","2015-01-26","450","불검출","불검출","적합"
"4","캔디류(사탕)","와카야마현","2015-01-07","104","불검출","불검출","적합"
"5","캔디류(사탕)","와카야마현","2015-01-14","108","불검출","불검출","적합"
"6","혼합제제","사이타마현","2015-01-22","64","불검출","불검출","적합"
"7","혼합제제","사이타마현","2015-01-19","48","불검출","불검출","적합"
"8","혼합제제","사이타마현","2015-01-23","105","불검출","불검출","적합"
"9","혼합제제","사이타마현","2014-12-19","64","불검출","불검출","적합"
"10","소스류","후쿠오카현","2015-01-19","1,440","불검출","불검출","적합"
"11","기타가공품","와카야마현","2015-01-20","1,000","불검출","불검출","적합"
"12","캔디류(캐러멜)","도치기현","2014-12-11","6,642.72","불검출","불검출","적합"
