"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","160","","416,793","","",""
"1","떡류","군마현","2014-08-28","294.84","불검출","불검출","적합"
"2","떡류","군마현","2014-12-09","447.72","불검출","불검출","적합"
"3","캔디류(사탕)","아이치현","2015-01-08","194.4","불검출","불검출","적합"
"4","떡류","군마현","2014-11-28","491.4","불검출","불검출","적합"
"5","떡류","군마현","2014-12-11","404.04","불검출","불검출","적합"
"6","떡류","군마현","2014-07-23","218.4","불검출","불검출","적합"
"7","떡류","군마현","2014-10-22","218.4","불검출","불검출","적합"
"8","떡류","군마현","2014-08-26","218.4","불검출","불검출","적합"
"9","떡류","군마현","2014-09-18","218.4","불검출","불검출","적합"
"10","캔디류(사탕)","아이치현","2014-12-20","309.6","불검출","불검출","적합"
"11","떡류","군마현","2014-08-29","218.4","불검출","불검출","적합"
"12","떡류","군마현","2014-08-28","218.4","불검출","불검출","적합"
