"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","119","","195,748","","",""
"1","수산물가공품","돗토리현","2015-01-19","172.8","불검출","불검출","적합"
"2","기타가공품","나가노현","2015-01-13","0.002","불검출","불검출","적합"
"3","글루콘산칼슘","도쿠시마현","2014-12-09","60","불검출","불검출","적합"
"4","폴리글리세린지방
산에스테르","효고현","2014-12-12","1,000","불검출","불검출","적합"
"5","과자(스낵과자)","히로시마현","2015-01-26","384","불검출","불검출","적합"
"6","청주","니가타현","2014-12-11","194.4","불검출","불검출","적합"
"7","청주","니가타현","2015-01-19","86.4","불검출","불검출","적합"
"8","청주","니가타현","2015-01-13","36.72","불검출","불검출","적합"
"9","청주","니가타현","2014-12-01","129.6","불검출","불검출","적합"
"10","청주","니가타현","2015-01-08","216","불검출","불검출","적합"
"11","청주","니가타현","2015-01-05","64.8","불검출","불검출","적합"
"12","청주","니가타현","2014-12-29","43.2","불검출","불검출","적합"
