"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건26","-","-","29,422","-","-","-"
"1","활돔 쥐돔(
)","나가사키현","2015-09-03","567","불검출","불검출","적합"
"2","활장어 먹장어
(
)","나가사키현","2015-09-03","1,121","불검출","불검출","적합"
"3","활장어 붕장어
(
)","나가사키현","2015-09-03","354","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-09-03","7,000","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-09-03","7,100","불검출","불검출","적합"
"6","활장어 먹장어
(
)","야마구치현","2015-09-03","388","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2015-09-03","561","불검출","불검출","적합"
"8","냉장갈치","오이타현","2015-09-03","75","불검출","불검출","적합"
"9","냉장돔 참돔(
)","후쿠오카현","2015-09-03","280","불검출","불검출","적합"
"10","냉장돔 참돔(
)","야마구치현","2015-09-03","320","불검출","불검출","적합"
"11","냉장돔 황돔(
)","후쿠오카현","2015-09-03","45","불검출","불검출","적합"
"12","냉장돔 황돔(
)","나가사키현","2015-09-03","400","불검출","불검출","적합"
"13","냉장돔 황돔(
)","나가사키현","2015-09-03","384","불검출","불검출","적합"
"14","냉장홍어","홋카이도","2015-09-03","1,075","불검출","불검출","적합"
"15","냉장돔 황돔(
)","야마구치현","2015-09-03","415","불검출","불검출","적합"
"16","냉장명태","홋카이도","2015-09-03","1,188","불검출","불검출","적합"
